S	Sl	Su
353	316.8299032	389.8236307
354	318.6286679	391.0897211
355	319.0902559	392.4029791
356	319.0902559	393.8045099
357	319.0902559	395.5317609
358	319.9501588	396.1871353
359	321.171834	396.1871353
360	322.4180927	396.7320265
361	323.6998111	397.9332768
362	325.0394334	399.1524223
363	326.5030814	400.3954298
364	328.2136996	401.6725541
365	328.2136996	403.0045167
366	328.2136996	404.4493154
367	328.2854918	406.2677472
368	329.4919396	406.2677472
369	330.7177095	406.2677472
370	331.9696956	407.2620885
371	333.2602076	408.4657197
372	334.6158802	409.6879861
373	336.1257757	410.9353193
374	337.5916833	412.2189901
375	337.5916833	413.5625685
376	337.5916833	415.0378767
377	337.7986107	416.6796307
378	339.006058	416.6796307
379	340.2331737	416.6796307
380	341.4870825	417.7668088
381	342.7806223	418.9707465
382	344.1420491	420.193433
383	345.6707403	421.4413719
384	347.0469668	422.7259938
385	347.0469668	424.0713302
386	347.0469668	425.5516326
387	347.2858396	427.1659788
388	348.4920779	427.1659788
389	349.7176268	427.1659788
390	350.9693689	428.2460875
391	352.2595876	429.4482222
392	353.6148384	430.6685744
393	355.1237063	431.9133077
394	356.5938534	433.1931043
395	356.5938534	434.5298657
396	356.5938534	435.9870865
397	356.7475929	437.7303127
398	357.9505206	437.7303127
399	359.1717592	437.7303127
400	360.4175413	438.7005386
401	361.6986989	439.8989206
402	363.0375528	441.1144313
403	364.4996232	442.3525685
404	366.2174246	443.6225924
405	366.2174246	444.9425746
406	366.2174246	446.3592541
407	366.2174246	448.357639
408	367.3827842	448.357639
409	368.59742	448.357639
410	369.8342154	449.1314101
411	371.1020821	450.3244049
412	372.4181951	451.5330447
413	373.8257908	452.7619827
414	375.6088466	454.0187599
415	376.1101402	455.3171868
416	376.1101402	456.6886158
417	376.1101402	458.2549785
418	376.7909319	459.4634178
419	377.9972821	459.4634178
420	379.2230518	459.5404289
421	380.475191	460.7268037
422	381.7661371	461.9271313
423	383.1229134	463.1451872
424	384.6369809	464.3868287
425	386.0807804	465.6620761
426	386.0807804	466.9910134
427	386.0807804	468.4288016
428	386.1774197	470.2885112
429	387.3744353	470.2885112
430	388.5880982	470.2885112
431	389.8236307	471.1085524
432	391.0897211	472.2997078
433	392.4029791	473.5060483
434	393.8045099	474.7319779
435	395.5317609	475.9845493
436	396.1871353	477.2764349
437	396.1871353	478.6353799
438	396.1871353	480.1574304
439	396.7320265	481.5607414
440	397.9332768	481.5607414
441	399.1524223	481.5607414
442	400.3954298	482.6537789
443	401.6725541	483.8482382
444	403.0045167	485.0587839
445	404.4493154	486.2903104
446	406.2677472	487.5508393
447	406.2677472	488.8553332
448	406.2677472	490.239002
449	406.2677472	491.8588139
450	407.2620885	492.8599006
451	408.4657197	492.8599006
452	409.6879861	492.9921316
453	410.9353193	494.1750054
454	412.2189901	495.3710248
455	413.5625685	496.5835768
456	415.0378767	497.8178074
457	416.6796307	499.082249
458	416.6796307	500.393121
459	416.6796307	501.7900908
460	416.6796307	503.4863583
461	417.7668088	504.2326045
462	418.9707465	504.2326045
463	420.193433	504.489097
464	421.4413719	505.6717017
465	422.7259938	506.8674001
466	424.0713302	508.0795547
467	425.5516326	509.3132669
468	427.1659788	510.5769781
469	427.1659788	511.8866815
470	427.1659788	513.2812224
471	427.1659788	514.9615886
472	428.2460875	515.7573479
473	429.4482222	515.7573479
474	430.6685744	515.9631521
475	431.9133077	517.1439807
476	433.1931043	518.3375008
477	434.5298657	519.5468899
478	435.9870865	520.7769193
479	437.7303127	522.0353645
480	437.7303127	523.3365944
481	437.7303127	524.7138048
482	437.7303127	526.3045355
483	438.7005386	527.4141182
484	439.8989206	527.4141182
485	441.1144313	527.4149148
486	442.3525685	528.5925871
487	443.6225924	529.7822499
488	444.9425746	530.9867716
489	446.3592541	532.2103815
490	448.357639	533.4597944
491	448.357639	534.7469142
492	448.357639	536.0971614
493	448.357639	537.5924549
494	449.1314101	539.1256759
495	450.3244049	539.1256759
496	451.5330447	539.1256759
497	452.7619827	540.018805
498	454.0187599	541.2032261
499	455.3171868	542.401207
500	456.6886158	543.616328
501	458.2549785	544.8540862
502	459.4634178	546.1237405
503	459.4634178	547.4433592
504	459.4634178	548.85967
505	459.5404289	550.8577125
506	460.7268037	550.8577125
507	461.9271313	550.8577125
508	463.1451872	551.4243133
509	464.3868287	552.6024607
510	465.6620761	553.7927237
511	466.9910134	554.9980233
512	468.4288016	556.2226807
513	470.2885112	557.4735874
514	470.2885112	558.7630476
515	470.2885112	560.1176823
516	470.2885112	561.6264898
517	471.1085524	563.0917942
518	472.2997078	563.0917942
519	473.5060483	563.0917942
520	474.7319779	563.9822179
521	475.9845493	565.1640646
522	477.2764349	566.3588794
523	478.6353799	567.569964
524	480.1574304	568.8023108
525	481.5607414	570.0641395
526	481.5607414	571.3708963
527	481.5607414	572.7594753
528	481.5607414	574.4055456
529	482.6537789	575.3133642
530	483.8482382	575.3133642
531	485.0587839	575.3448031
532	486.2903104	576.5179409
533	487.5508393	577.7021353
534	488.8553332	578.8998644
535	490.239002	580.1146951
536	491.8588139	581.3521
537	492.8599006	582.6212862
538	492.8599006	583.9401884
539	492.8599006	585.3550041
540	492.9921316	587.2839997
541	494.1750054	587.435278
542	495.3710248	587.435278
543	496.5835768	587.8568702
544	497.8178074	589.0306801
545	499.082249	590.215695
546	500.393121	591.4144529
547	501.7900908	592.6306203
548	503.4863583	593.8698527
549	504.2326045	595.1417417
550	504.2326045	596.4652272
551	504.2326045	597.8905851
552	504.489097	599.8270772
553	505.6717017	599.8270772
554	506.8674001	599.8270772
555	508.0795547	600.3469878
556	509.3132669	601.5201518
557	510.5769781	602.7043941
558	511.8866815	603.9022009
559	513.2812224	605.1171522
560	514.9615886	606.3547451
561	515.7573479	607.6242375
562	515.7573479	608.9436961
563	515.7573479	610.3598425
564	515.9631521	612.3577547
565	517.1439807	612.3577547
566	518.3375008	612.3577547
567	519.5468899	612.8153854
568	520.7769193	613.9866272
569	522.0353645	615.1685601
570	523.3365944	616.3635168
571	524.7138048	617.574823
572	526.3045355	618.8075138
573	527.4141182	620.069896
574	527.4141182	621.3776294
575	527.4141182	622.7683659
576	527.4149148	624.4270832
577	528.5925871	625.2919067
578	529.7822499	625.2919067
579	530.9867716	625.2919067
580	532.2103815	626.4309013
581	533.4597944	627.6091557
582	534.7469142	628.7996011
583	536.0971614	630.0051887
584	537.5924549	631.2302922
585	539.1256759	632.4819051
586	539.1256759	633.7725643
587	539.1256759	635.1295994
588	539.1256759	636.6464086
589	540.018805	638.072067
590	541.2032261	638.072067
591	542.401207	638.072067
592	543.616328	638.8542065
593	544.8540862	640.0276595
594	546.1237405	641.2122737
595	547.4433592	642.4105675
596	548.85967	643.6261752
597	550.8577125	644.8646929
598	550.8577125	646.1355869
599	550.8577125	647.457467
600	550.8577125	648.8792498
601	551.4243133	650.8385222
602	552.6024607	650.8385222
603	553.7927237	650.8385222
604	554.9980233	651.2580888
605	556.2226807	652.4259007
606	557.4735874	653.6037454
607	558.7630476	654.7937049
608	560.1176823	655.9986966
609	561.6264898	657.2230354
610	563.0917942	658.473601
611	563.0917942	659.7626703
612	563.0917942	661.1167824
613	563.0917942	662.624442
614	563.9822179	664.0940244
615	565.1640646	664.0940244
616	566.3588794	664.0940244
617	567.569964	664.8058876
618	568.8023108	665.97639
619	570.0641395	667.1574623
620	571.3708963	668.351389
621	572.7594753	669.5614161
622	574.4055456	670.7924372
623	575.3133642	672.0524723
624	575.3133642	673.3564797
625	575.3133642	674.7396572
626	575.3448031	676.3588721
627	576.5179409	677.3600603
628	577.7021353	677.3600603
629	578.8998644	677.3600603
630	580.1146951	678.3325597
631	581.3521	679.5045866
632	582.6212862	680.6874996
633	583.9401884	681.8837061
634	585.3550041	683.0966557
635	587.2839997	684.3316068
636	587.435278	685.597323
637	587.435278	686.9106043
638	587.435278	688.313271
639	587.8568702	690.0568493
640	589.0306801	690.6623341
641	590.215695	690.6623341
642	591.4144529	690.6744598
643	592.6306203	691.8375724
644	593.8698527	693.0098559
645	595.1417417	694.1930846
646	596.4652272	695.3896891
647	597.8905851	696.6031573
648	599.8270772	697.8388176
649	599.8270772	699.1055773
650	599.8270772	700.4206019
651	599.8270772	701.8270961
652	600.3469878	703.6085068
653	601.5201518	704.1107252
654	602.7043941	704.1107252
655	603.9022009	704.158602
656	605.1171522	705.3208365
657	606.3547451	706.4920892
658	607.6242375	707.6740824
659	608.9436961	708.8691655
660	610.3598425	710.0806925
661	612.3577547	711.3137489
662	612.3577547	712.5767446
663	612.3577547	713.8855936
664	612.3577547	715.2788585
665	612.8153854	716.9536037
666	613.9866272	717.7654859
667	615.1685601	717.7654859
668	616.3635168	717.7654859
669	617.574823	718.7827166
670	618.8075138	719.9517178
671	620.069896	721.1310147
672	621.3776294	722.3227858
673	622.7683659	723.5301049
674	624.4270832	724.75756
675	625.2919067	726.0125632
676	625.2919067	727.3086223
677	625.2919067	728.676112
678	625.2919067	730.2294185
679	626.4309013	731.4893485
680	627.6091557	731.4893485
681	628.7996011	731.4893485
682	630.0051887	732.2239953
683	631.2302922	733.3896649
684	632.4819051	734.5649941
685	633.7725643	735.7519276
686	635.1295994	736.953164
687	636.6464086	738.1726416
688	638.072067	739.4165221
689	638.072067	740.6954834
690	638.072067	742.0314159
691	638.072067	743.4877679
692	638.8542065	745.2305057
693	640.0276595	745.2305057
694	641.2122737	745.2305057
695	642.4105675	745.6457984
696	643.6261752	746.8072477
697	644.8646929	747.9775911
698	646.1355869	749.1585083
699	647.457467	750.3522834
700	648.8792498	751.5621626
701	650.8385222	752.7930388
702	650.8385222	754.0529316
703	650.8385222	755.3567978
704	650.8385222	756.7398303
705	651.2580888	758.3588544
706	652.4259007	759.3601407
707	653.6037454	759.3601407
708	654.7937049	759.3601407
709	655.9986966	760.2060526
710	657.2230354	761.3706692
711	658.473601	762.544759
712	659.7626703	763.7302002
713	661.1167824	764.9295862
714	662.624442	766.1466772
715	664.0940244	767.3873017
716	664.0940244	768.6614195
717	664.0940244	769.9889509
718	664.0940244	771.424347
719	664.8058876	773.2938173
720	665.97639	773.2938173
721	667.1574623	773.2938173
722	668.351389	773.5878075
723	669.5614161	774.7462226
724	670.7924372	775.9130151
725	672.0524723	777.0896955
726	673.3564797	778.2782905
727	674.7396572	779.4816287
728	676.3588721	780.7038717
729	677.3600603	781.9516042
730	677.3600603	783.2364382
731	677.3600603	784.5829346
732	677.3600603	786.0682123
733	678.3325597	787.650305
734	679.5045866	787.650305
735	680.6874996	787.650305
736	681.8837061	788.1062429
737	683.0966557	789.265553
738	684.3316068	790.4333978
739	685.597323	791.6113383
740	686.9106043	792.8014772
741	688.313271	794.0067654
742	690.0568493	795.2315762
743	690.6623341	796.4829019
744	690.6623341	797.7732771
745	690.6623341	799.1300248
746	690.6744598	800.6465048
747	691.8375724	802.0721833
748	693.0098559	802.0721833
749	694.1930846	802.0721833
750	695.3896891	802.6044852
751	696.6031573	803.7636728
752	697.8388176	804.9313783
753	699.1055773	806.1091572
754	700.4206019	807.2991038
755	701.8270961	808.5041555
756	703.6085068	809.7286619
757	704.1107252	810.9795693
758	704.1107252	812.2693076
759	704.1107252	813.6248793
760	704.158602	815.1376375
761	705.3208365	816.5810491
762	706.4920892	816.5810491
763	707.6740824	816.5810491
764	708.8691655	817.0825795
765	710.0806925	818.2406324
766	711.3137489	819.4070143
767	712.5767446	820.58322
768	713.8855936	821.7712521
769	715.2788585	822.9739012
770	716.9536037	824.1952631
771	717.7654859	825.4417973
772	717.7654859	826.7248367
773	717.7654859	828.0681315
774	717.7654859	829.5444569
775	718.7827166	831.1740647
776	719.9517178	831.1740647
777	721.1310147	831.1740647
778	722.3227858	831.5409311
779	723.5301049	832.6969002
780	724.75756	833.8608556
781	726.0125632	835.0341852
782	727.3086223	836.2187314
783	728.676112	837.4170316
784	730.2294185	838.6327518
785	731.4893485	839.8715464
786	731.4893485	841.1430045
787	731.4893485	842.4660598
788	731.4893485	843.8909645
